location_name,sex_name,cause_name,HALE_2015_30_70,Age_standardized_YLDs ,YLDs_proportion
Malaysia,Male,Non-communicable diseases,25.3 ,10065.1 ,100
Malaysia,Male,Neoplasms,25.3 ,73.2 ,0.7
Malaysia,Male,Cardiovascular diseases,25.3 ,655.1 ,6.5
Malaysia,Male,Chronic respiratory diseases,25.3 ,419.5 ,4.2
Malaysia,Male,Diabetes mellitus,25.3 ,811.8 ,8.1
Malaysia,Male,Four major NCDs,25.3 ,1959.5 ,19.5
Maldives,Male,Non-communicable diseases,29.2 ,9503.7 ,100
Maldives,Male,Neoplasms,29.2 ,43.1 ,0.5
Maldives,Male,Cardiovascular diseases,29.2 ,526.8 ,5.5
Maldives,Male,Chronic respiratory diseases,29.2 ,416.2 ,4.4
Maldives,Male,Diabetes mellitus,29.2 ,565.3 ,5.9
Maldives,Male,Four major NCDs,29.2 ,1551.4 ,16.3
Myanmar,Male,Non-communicable diseases,20.9 ,9688.3 ,100
Myanmar,Male,Neoplasms,20.9 ,54.7 ,0.6
Myanmar,Male,Cardiovascular diseases,20.9 ,606.9 ,6.3
Myanmar,Male,Chronic respiratory diseases,20.9 ,601.4 ,6.2
Myanmar,Male,Diabetes mellitus,20.9 ,655.4 ,6.8
Myanmar,Male,Four major NCDs,20.9 ,1918.4 ,19.8
Philippines,Male,Non-communicable diseases,22.0 ,10413.2 ,100
Philippines,Male,Neoplasms,22.0 ,62.9 ,0.6
Philippines,Male,Cardiovascular diseases,22.0 ,620.9 ,6
Philippines,Male,Chronic respiratory diseases,22.0 ,749.3 ,7.2
Philippines,Male,Diabetes mellitus,22.0 ,476.9 ,4.6
Philippines,Male,Four major NCDs,22.0 ,1910.0 ,18.3
Sri Lanka,Male,Non-communicable diseases,24.6 ,10340.1 ,100
Sri Lanka,Male,Neoplasms,24.6 ,61.1 ,0.6
Sri Lanka,Male,Cardiovascular diseases,24.6 ,488.9 ,4.7
Sri Lanka,Male,Chronic respiratory diseases,24.6 ,536.9 ,5.2
Sri Lanka,Male,Diabetes mellitus,24.6 ,1183.7 ,11.4
Sri Lanka,Male,Four major NCDs,24.6 ,2270.6 ,22
Thailand,Male,Non-communicable diseases,29.2 ,10068.1 ,100
Thailand,Male,Neoplasms,29.2 ,82.7 ,0.8
Thailand,Male,Cardiovascular diseases,29.2 ,531.8 ,5.3
Thailand,Male,Chronic respiratory diseases,29.2 ,519.7 ,5.2
Thailand,Male,Diabetes mellitus,29.2 ,455.6 ,4.5
Thailand,Male,Four major NCDs,29.2 ,1589.8 ,15.8
Timor-Leste,Male,Non-communicable diseases,23.2 ,9373.2 ,100
Timor-Leste,Male,Neoplasms,23.2 ,42.9 ,0.5
Timor-Leste,Male,Cardiovascular diseases,23.2 ,674.7 ,7.2
Timor-Leste,Male,Chronic respiratory diseases,23.2 ,436.5 ,4.7
Timor-Leste,Male,Diabetes mellitus,23.2 ,559.3 ,6
Timor-Leste,Male,Four major NCDs,23.2 ,1713.4 ,18.3
Viet Nam,Male,Non-communicable diseases,22.2 ,9455.9 ,100
Viet Nam,Male,Neoplasms,22.2 ,99.7 ,1.1
Viet Nam,Male,Cardiovascular diseases,22.2 ,659.9 ,7
Viet Nam,Male,Chronic respiratory diseases,22.2 ,427.9 ,4.5
Viet Nam,Male,Diabetes mellitus,22.2 ,525.8 ,5.6
Viet Nam,Male,Four major NCDs,22.2 ,1713.3 ,18.1
Fiji,Male,Non-communicable diseases,20.0 ,10997.4 ,100
Fiji,Male,Neoplasms,20.0 ,49.4 ,0.4
Fiji,Male,Cardiovascular diseases,20.0 ,663.9 ,6
Fiji,Male,Chronic respiratory diseases,20.0 ,211.2 ,1.9
Fiji,Male,Diabetes mellitus,20.0 ,2098.7 ,19.1
Fiji,Male,Four major NCDs,20.0 ,3023.2 ,27.5
Kiribati,Male,Non-communicable diseases,16.3 ,11608.5 ,100
Kiribati,Male,Neoplasms,16.3 ,82.1 ,0.7
Kiribati,Male,Cardiovascular diseases,16.3 ,1085.9 ,9.4
Kiribati,Male,Chronic respiratory diseases,16.3 ,346.9 ,3
Kiribati,Male,Diabetes mellitus,16.3 ,2100.1 ,18.1
Kiribati,Male,Four major NCDs,16.3 ,3614.9 ,31.1
Micronesia (Federated States of),Male,Non-communicable diseases,18.1 ,10730.2 ,100
Micronesia (Federated States of),Male,Neoplasms,18.1 ,79.7 ,0.7
Micronesia (Federated States of),Male,Cardiovascular diseases,18.1 ,763.4 ,7.1
Micronesia (Federated States of),Male,Chronic respiratory diseases,18.1 ,283.7 ,2.6
Micronesia (Federated States of),Male,Diabetes mellitus,18.1 ,1639.8 ,15.3
Micronesia (Federated States of),Male,Four major NCDs,18.1 ,2766.6 ,25.8
Papua New Guinea,Male,Non-communicable diseases,20.1 ,10642.4 ,100
Papua New Guinea,Male,Neoplasms,20.1 ,44.9 ,0.4
Papua New Guinea,Male,Cardiovascular diseases,20.1 ,717.6 ,6.7
Papua New Guinea,Male,Chronic respiratory diseases,20.1 ,519.8 ,4.9
Papua New Guinea,Male,Diabetes mellitus,20.1 ,1516.9 ,14.3
Papua New Guinea,Male,Four major NCDs,20.1 ,2799.1 ,26.3
Samoa,Male,Non-communicable diseases,22.0 ,10288.6 ,100
Samoa,Male,Neoplasms,22.0 ,52.6 ,0.5
Samoa,Male,Cardiovascular diseases,22.0 ,728.4 ,7.1
Samoa,Male,Chronic respiratory diseases,22.0 ,202.9 ,2
Samoa,Male,Diabetes mellitus,22.0 ,1436.9 ,14
Samoa,Male,Four major NCDs,22.0 ,2420.8 ,23.5
Solomon Islands,Male,Non-communicable diseases,16.0 ,10478.0 ,100
Solomon Islands,Male,Neoplasms,16.0 ,84.3 ,0.8
Solomon Islands,Male,Cardiovascular diseases,16.0 ,745.6 ,7.1
Solomon Islands,Male,Chronic respiratory diseases,16.0 ,253.2 ,2.4
Solomon Islands,Male,Diabetes mellitus,16.0 ,1537.3 ,14.7
Solomon Islands,Male,Four major NCDs,16.0 ,2620.5 ,25
Tonga,Male,Non-communicable diseases,22.2 ,10146.6 ,100
Tonga,Male,Neoplasms,22.2 ,83.6 ,0.8
Tonga,Male,Cardiovascular diseases,22.2 ,616.7 ,6.1
Tonga,Male,Chronic respiratory diseases,22.2 ,244.3 ,2.4
Tonga,Male,Diabetes mellitus,22.2 ,1398.1 ,13.8
Tonga,Male,Four major NCDs,22.2 ,2342.7 ,23.1
Vanuatu,Male,Non-communicable diseases,19.5 ,10503.0 ,100
Vanuatu,Male,Neoplasms,19.5 ,60.4 ,0.6
Vanuatu,Male,Cardiovascular diseases,19.5 ,869.7 ,8.3
Vanuatu,Male,Chronic respiratory diseases,19.5 ,247.3 ,2.4
Vanuatu,Male,Diabetes mellitus,19.5 ,1376.4 ,13.1
Vanuatu,Male,Four major NCDs,19.5 ,2553.8 ,24.3
Armenia,Male,Non-communicable diseases,23.3 ,8863.8 ,100
Armenia,Male,Neoplasms,23.3 ,112.4 ,1.3
Armenia,Male,Cardiovascular diseases,23.3 ,521.7 ,5.9
Armenia,Male,Chronic respiratory diseases,23.3 ,252.0 ,2.8
Armenia,Male,Diabetes mellitus,23.3 ,741.6 ,8.4
Armenia,Male,Four major NCDs,23.3 ,1627.7 ,18.4
Azerbaijan,Male,Non-communicable diseases,21.2 ,8780.3 ,100
Azerbaijan,Male,Neoplasms,21.2 ,90.5 ,1
Azerbaijan,Male,Cardiovascular diseases,21.2 ,584.9 ,6.7
Azerbaijan,Male,Chronic respiratory diseases,21.2 ,229.5 ,2.6
Azerbaijan,Male,Diabetes mellitus,21.2 ,714.2 ,8.1
Azerbaijan,Male,Four major NCDs,21.2 ,1619.1 ,18.4
Georgia,Male,Non-communicable diseases,21.2 ,9266.9 ,100
Georgia,Male,Neoplasms,21.2 ,132.6 ,1.4
Georgia,Male,Cardiovascular diseases,21.2 ,670.2 ,7.2
Georgia,Male,Chronic respiratory diseases,21.2 ,271.7 ,2.9
Georgia,Male,Diabetes mellitus,21.2 ,1026.6 ,11.1
Georgia,Male,Four major NCDs,21.2 ,2101.1 ,22.7
Kazakhstan,Male,Non-communicable diseases,20.2 ,9893.7 ,100
Kazakhstan,Male,Neoplasms,20.2 ,98.6 ,1
Kazakhstan,Male,Cardiovascular diseases,20.2 ,623.5 ,6.3
Kazakhstan,Male,Chronic respiratory diseases,20.2 ,295.4 ,3
Kazakhstan,Male,Diabetes mellitus,20.2 ,750.7 ,7.6
Kazakhstan,Male,Four major NCDs,20.2 ,1768.1 ,17.9
Kyrgyzstan,Male,Non-communicable diseases,21.7 ,9100.8 ,100
Kyrgyzstan,Male,Neoplasms,21.7 ,62.0 ,0.7
Kyrgyzstan,Male,Cardiovascular diseases,21.7 ,581.2 ,6.4
Kyrgyzstan,Male,Chronic respiratory diseases,21.7 ,349.1 ,3.8
Kyrgyzstan,Male,Diabetes mellitus,21.7 ,461.9 ,5.1
Kyrgyzstan,Male,Four major NCDs,21.7 ,1454.1 ,16
Mongolia,Male,Non-communicable diseases,19.9 ,9495.3 ,100
Mongolia,Male,Neoplasms,19.9 ,120.9 ,1.3
Mongolia,Male,Cardiovascular diseases,19.9 ,717.5 ,7.6
Mongolia,Male,Chronic respiratory diseases,19.9 ,184.3 ,1.9
Mongolia,Male,Diabetes mellitus,19.9 ,340.9 ,3.6
Mongolia,Male,Four major NCDs,19.9 ,1363.6 ,14.4
Tajikistan,Male,Non-communicable diseases,20.8 ,8617.3 ,100
Tajikistan,Male,Neoplasms,20.8 ,48.0 ,0.6
Tajikistan,Male,Cardiovascular diseases,20.8 ,491.3 ,5.7
Tajikistan,Male,Chronic respiratory diseases,20.8 ,206.2 ,2.4
Tajikistan,Male,Diabetes mellitus,20.8 ,756.7 ,8.8
Tajikistan,Male,Four major NCDs,20.8 ,1502.1 ,17.4
Turkmenistan,Male,Non-communicable diseases,22.4 ,9051.2 ,100
Turkmenistan,Male,Neoplasms,22.4 ,62.9 ,0.7
Turkmenistan,Male,Cardiovascular diseases,22.4 ,748.0 ,8.3
Turkmenistan,Male,Chronic respiratory diseases,22.4 ,186.2 ,2.1
Turkmenistan,Male,Diabetes mellitus,22.4 ,649.7 ,7.2
Turkmenistan,Male,Four major NCDs,22.4 ,1646.8 ,18.2
Uzbekistan,Male,Non-communicable diseases,19.5 ,8894.4 ,100
Uzbekistan,Male,Neoplasms,19.5 ,60.9 ,0.7
Uzbekistan,Male,Cardiovascular diseases,19.5 ,611.9 ,6.9
Uzbekistan,Male,Chronic respiratory diseases,19.5 ,254.8 ,2.9
Uzbekistan,Male,Diabetes mellitus,19.5 ,786.1 ,8.8
Uzbekistan,Male,Four major NCDs,19.5 ,1713.8 ,19.3
Albania,Male,Non-communicable diseases,27.3 ,8497.3 ,100
Albania,Male,Neoplasms,27.3 ,100.8 ,1.2
Albania,Male,Cardiovascular diseases,27.3 ,562.2 ,6.6
Albania,Male,Chronic respiratory diseases,27.3 ,206.5 ,2.4
Albania,Male,Diabetes mellitus,27.3 ,471.3 ,5.5
Albania,Male,Four major NCDs,27.3 ,1340.8 ,15.8
Bosnia and Herzegovina,Male,Non-communicable diseases,24.0 ,9335.5 ,100
Bosnia and Herzegovina,Male,Neoplasms,24.0 ,135.4 ,1.5
Bosnia and Herzegovina,Male,Cardiovascular diseases,24.0 ,658.7 ,7.1
Bosnia and Herzegovina,Male,Chronic respiratory diseases,24.0 ,356.7 ,3.8
Bosnia and Herzegovina,Male,Diabetes mellitus,24.0 ,1111.3 ,11.9
Bosnia and Herzegovina,Male,Four major NCDs,24.0 ,2262.0 ,24.2
Bulgaria,Male,Non-communicable diseases,21.1 ,9383.5 ,100
Bulgaria,Male,Neoplasms,21.1 ,182.0 ,1.9
Bulgaria,Male,Cardiovascular diseases,21.1 ,693.7 ,7.4
Bulgaria,Male,Chronic respiratory diseases,21.1 ,369.2 ,3.9
Bulgaria,Male,Diabetes mellitus,21.1 ,813.9 ,8.7
Bulgaria,Male,Four major NCDs,21.1 ,2058.7 ,21.9
Croatia,Male,Non-communicable diseases,24.3 ,9631.7 ,100
Croatia,Male,Neoplasms,24.3 ,230.0 ,2.4
Croatia,Male,Cardiovascular diseases,24.3 ,468.3 ,4.9
Croatia,Male,Chronic respiratory diseases,24.3 ,356.3 ,3.7
Croatia,Male,Diabetes mellitus,24.3 ,887.2 ,9.2
Croatia,Male,Four major NCDs,24.3 ,1941.8 ,20.2
Czechia,Male,Non-communicable diseases,25.3 ,9953.8 ,100
Czechia,Male,Neoplasms,25.3 ,198.3 ,2
Czechia,Male,Cardiovascular diseases,25.3 ,584.1 ,5.9
Czechia,Male,Chronic respiratory diseases,25.3 ,331.1 ,3.3
Czechia,Male,Diabetes mellitus,25.3 ,1375.7 ,13.8
Czechia,Male,Four major NCDs,25.3 ,2489.2 ,25
Hungary,Male,Non-communicable diseases,22.9 ,9830.4 ,100
Hungary,Male,Neoplasms,22.9 ,224.4 ,2.3
Hungary,Male,Cardiovascular diseases,22.9 ,595.6 ,6.1
Hungary,Male,Chronic respiratory diseases,22.9 ,420.9 ,4.3
Hungary,Male,Diabetes mellitus,22.9 ,959.4 ,9.8
Hungary,Male,Four major NCDs,22.9 ,2200.3 ,22.4
North Macedonia,Male,Non-communicable diseases,22.6 ,9231.9 ,100
North Macedonia,Male,Neoplasms,22.6 ,161.5 ,1.7
North Macedonia,Male,Cardiovascular diseases,22.6 ,607.4 ,6.6
North Macedonia,Male,Chronic respiratory diseases,22.6 ,326.0 ,3.5
North Macedonia,Male,Diabetes mellitus,22.6 ,1119.2 ,12.1
North Macedonia,Male,Four major NCDs,22.6 ,2214.1 ,24
Montenegro,Male,Non-communicable diseases,22.9 ,9249.5 ,100
Montenegro,Male,Neoplasms,22.9 ,177.3 ,1.9
Montenegro,Male,Cardiovascular diseases,22.9 ,567.1 ,6.1
Montenegro,Male,Chronic respiratory diseases,22.9 ,203.5 ,2.2
Montenegro,Male,Diabetes mellitus,22.9 ,980.0 ,10.6
Montenegro,Male,Four major NCDs,22.9 ,1927.9 ,20.8
Poland,Male,Non-communicable diseases,24.1 ,9750.4 ,100
Poland,Male,Neoplasms,24.1 ,165.9 ,1.7
Poland,Male,Cardiovascular diseases,24.1 ,529.8 ,5.4
Poland,Male,Chronic respiratory diseases,24.1 ,362.1 ,3.7
Poland,Male,Diabetes mellitus,24.1 ,937.1 ,9.6
Poland,Male,Four major NCDs,24.1 ,1994.8 ,20.5
Romania,Male,Non-communicable diseases,22.9 ,9232.9 ,100
Romania,Male,Neoplasms,22.9 ,183.4 ,2
Romania,Male,Cardiovascular diseases,22.9 ,584.5 ,6.3
Romania,Male,Chronic respiratory diseases,22.9 ,401.5 ,4.3
Romania,Male,Diabetes mellitus,22.9 ,639.8 ,6.9
Romania,Male,Four major NCDs,22.9 ,1809.3 ,19.6
Serbia,Male,Non-communicable diseases,22.7 ,9598.1 ,100
Serbia,Male,Neoplasms,22.7 ,228.7 ,2.4
Serbia,Male,Cardiovascular diseases,22.7 ,565.9 ,5.9
Serbia,Male,Chronic respiratory diseases,22.7 ,330.6 ,3.4
Serbia,Male,Diabetes mellitus,22.7 ,1021.6 ,10.6
Serbia,Male,Four major NCDs,22.7 ,2146.8 ,22.4
Slovakia,Male,Non-communicable diseases,23.5 ,9633.8 ,100
Slovakia,Male,Neoplasms,23.5 ,217.9 ,2.3
Slovakia,Male,Cardiovascular diseases,23.5 ,636.0 ,6.6
Slovakia,Male,Chronic respiratory diseases,23.5 ,288.5 ,3
Slovakia,Male,Diabetes mellitus,23.5 ,714.8 ,7.4
Slovakia,Male,Four major NCDs,23.5 ,1857.2 ,19.3
Slovenia,Male,Non-communicable diseases,27.2 ,9323.9 ,100
Slovenia,Male,Neoplasms,27.2 ,224.3 ,2.4
Slovenia,Male,Cardiovascular diseases,27.2 ,431.8 ,4.6
Slovenia,Male,Chronic respiratory diseases,27.2 ,304.4 ,3.3
Slovenia,Male,Diabetes mellitus,27.2 ,701.7 ,7.5
Slovenia,Male,Four major NCDs,27.2 ,1662.3 ,17.8
Belarus,Male,Non-communicable diseases,20.4 ,9589.4 ,100
Belarus,Male,Neoplasms,20.4 ,210.1 ,2.2
Belarus,Male,Cardiovascular diseases,20.4 ,649.6 ,6.8
Belarus,Male,Chronic respiratory diseases,20.4 ,319.4 ,3.3
Belarus,Male,Diabetes mellitus,20.4 ,406.5 ,4.2
Belarus,Male,Four major NCDs,20.4 ,1585.6 ,16.5
Estonia,Male,Non-communicable diseases,24.3 ,9690.2 ,100
Estonia,Male,Neoplasms,24.3 ,247.9 ,2.6
Estonia,Male,Cardiovascular diseases,24.3 ,512.3 ,5.3
Estonia,Male,Chronic respiratory diseases,24.3 ,162.3 ,1.7
Estonia,Male,Diabetes mellitus,24.3 ,603.2 ,6.2
Estonia,Male,Four major NCDs,24.3 ,1525.7 ,15.7
Latvia,Male,Non-communicable diseases,22.2 ,9683.6 ,100
Latvia,Male,Neoplasms,22.2 ,207.3 ,2.1
Latvia,Male,Cardiovascular diseases,22.2 ,603.4 ,6.2
Latvia,Male,Chronic respiratory diseases,22.2 ,228.4 ,2.4
Latvia,Male,Diabetes mellitus,22.2 ,593.0 ,6.1
Latvia,Male,Four major NCDs,22.2 ,1632.2 ,16.9
Lithuania,Male,Non-communicable diseases,21.7 ,9697.8 ,100
Lithuania,Male,Neoplasms,21.7 ,234.0 ,2.4
Lithuania,Male,Cardiovascular diseases,21.7 ,567.4 ,5.9
Lithuania,Male,Chronic respiratory diseases,21.7 ,235.0 ,2.4
Lithuania,Male,Diabetes mellitus,21.7 ,502.9 ,5.2
Lithuania,Male,Four major NCDs,21.7 ,1539.3 ,15.9
Republic of Moldova,Male,Non-communicable diseases,21.0 ,9413.6 ,100
Republic of Moldova,Male,Neoplasms,21.0 ,171.4 ,1.8
Republic of Moldova,Male,Cardiovascular diseases,21.0 ,572.6 ,6.1
Republic of Moldova,Male,Chronic respiratory diseases,21.0 ,273.1 ,2.9
Republic of Moldova,Male,Diabetes mellitus,21.0 ,666.2 ,7.1
Republic of Moldova,Male,Four major NCDs,21.0 ,1683.3 ,17.9
Russian Federation,Male,Non-communicable diseases,20.3 ,9681.5 ,100
Russian Federation,Male,Neoplasms,20.3 ,195.4 ,2
Russian Federation,Male,Cardiovascular diseases,20.3 ,593.4 ,6.1
Russian Federation,Male,Chronic respiratory diseases,20.3 ,253.5 ,2.6
Russian Federation,Male,Diabetes mellitus,20.3 ,380.9 ,3.9
Russian Federation,Male,Four major NCDs,20.3 ,1423.2 ,14.7
Ukraine,Male,Non-communicable diseases,19.1 ,9831.1 ,100
Ukraine,Male,Neoplasms,19.1 ,191.2 ,1.9
Ukraine,Male,Cardiovascular diseases,19.1 ,615.0 ,6.3
Ukraine,Male,Chronic respiratory diseases,19.1 ,293.2 ,3
Ukraine,Male,Diabetes mellitus,19.1 ,494.4 ,5
Ukraine,Male,Four major NCDs,19.1 ,1593.9 ,16.2
Brunei Darussalam,Male,Non-communicable diseases,23.2 ,10268.7 ,100
Brunei Darussalam,Male,Neoplasms,23.2 ,123.6 ,1.2
Brunei Darussalam,Male,Cardiovascular diseases,23.2 ,420.5 ,4.1
Brunei Darussalam,Male,Chronic respiratory diseases,23.2 ,439.8 ,4.3
Brunei Darussalam,Male,Diabetes mellitus,23.2 ,2019.8 ,19.7
Brunei Darussalam,Male,Four major NCDs,23.2 ,3003.7 ,29.3
Japan,Male,Non-communicable diseases,31.7 ,9495.0 ,100
Japan,Male,Neoplasms,31.7 ,176.6 ,1.9
Japan,Male,Cardiovascular diseases,31.7 ,423.9 ,4.5
Japan,Male,Chronic respiratory diseases,31.7 ,257.6 ,2.7
Japan,Male,Diabetes mellitus,31.7 ,544.1 ,5.7
Japan,Male,Four major NCDs,31.7 ,1402.1 ,14.8
Republic of Korea,Male,Non-communicable diseases,31.8 ,9505.0 ,100
Republic of Korea,Male,Neoplasms,31.8 ,152.4 ,1.6
Republic of Korea,Male,Cardiovascular diseases,31.8 ,375.3 ,3.9
Republic of Korea,Male,Chronic respiratory diseases,31.8 ,364.9 ,3.8
Republic of Korea,Male,Diabetes mellitus,31.8 ,648.2 ,6.8
Republic of Korea,Male,Four major NCDs,31.8 ,1540.7 ,16.2
Singapore,Male,Non-communicable diseases,34.0 ,8838.4 ,100
Singapore,Male,Neoplasms,34.0 ,131.9 ,1.5
Singapore,Male,Cardiovascular diseases,34.0 ,334.6 ,3.8
Singapore,Male,Chronic respiratory diseases,34.0 ,355.2 ,4
Singapore,Male,Diabetes mellitus,34.0 ,914.3 ,10.3
Singapore,Male,Four major NCDs,34.0 ,1735.9 ,19.6
Australia,Male,Non-communicable diseases,30.4 ,10997.5 ,100
Australia,Male,Neoplasms,30.4 ,243.4 ,2.2
Australia,Male,Cardiovascular diseases,30.4 ,321.1 ,2.9
Australia,Male,Chronic respiratory diseases,30.4 ,415.0 ,3.8
Australia,Male,Diabetes mellitus,30.4 ,503.9 ,4.6
Australia,Male,Four major NCDs,30.4 ,1483.4 ,13.5
New Zealand,Male,Non-communicable diseases,29.8 ,10240.9 ,100
New Zealand,Male,Neoplasms,29.8 ,244.6 ,2.4
New Zealand,Male,Cardiovascular diseases,29.8 ,297.6 ,2.9
New Zealand,Male,Chronic respiratory diseases,29.8 ,381.0 ,3.7
New Zealand,Male,Diabetes mellitus,29.8 ,370.9 ,3.6
New Zealand,Male,Four major NCDs,29.8 ,1294.1 ,12.6
Austria,Male,Non-communicable diseases,28.6 ,10821.9 ,100
Austria,Male,Neoplasms,28.6 ,232.8 ,2.2
Austria,Male,Cardiovascular diseases,28.6 ,406.6 ,3.8
Austria,Male,Chronic respiratory diseases,28.6 ,401.4 ,3.7
Austria,Male,Diabetes mellitus,28.6 ,547.8 ,5.1
Austria,Male,Four major NCDs,28.6 ,1588.6 ,14.7
Belgium,Male,Non-communicable diseases,27.6 ,10904.1 ,100
Belgium,Male,Neoplasms,27.6 ,208.8 ,1.9
Belgium,Male,Cardiovascular diseases,27.6 ,313.5 ,2.9
Belgium,Male,Chronic respiratory diseases,27.6 ,464.3 ,4.3
Belgium,Male,Diabetes mellitus,27.6 ,593.5 ,5.4
Belgium,Male,Four major NCDs,27.6 ,1580.0 ,14.5
Cyprus,Male,Non-communicable diseases,29.1 ,9976.0 ,100
Cyprus,Male,Neoplasms,29.1 ,170.1 ,1.7
Cyprus,Male,Cardiovascular diseases,29.1 ,287.3 ,2.9
Cyprus,Male,Chronic respiratory diseases,29.1 ,414.5 ,4.2
Cyprus,Male,Diabetes mellitus,29.1 ,728.3 ,7.3
Cyprus,Male,Four major NCDs,29.1 ,1600.1 ,16
Denmark,Male,Non-communicable diseases,29.2 ,10720.8 ,100
Denmark,Male,Neoplasms,29.2 ,214.8 ,2
Denmark,Male,Cardiovascular diseases,29.2 ,298.5 ,2.8
Denmark,Male,Chronic respiratory diseases,29.2 ,443.8 ,4.1
Denmark,Male,Diabetes mellitus,29.2 ,404.6 ,3.8
Denmark,Male,Four major NCDs,29.2 ,1361.7 ,12.7
Finland,Male,Non-communicable diseases,29.0 ,10176.4 ,100
Finland,Male,Neoplasms,29.0 ,195.3 ,1.9
Finland,Male,Cardiovascular diseases,29.0 ,355.3 ,3.5
Finland,Male,Chronic respiratory diseases,29.0 ,410.2 ,4
Finland,Male,Diabetes mellitus,29.0 ,733.4 ,7.2
Finland,Male,Four major NCDs,29.0 ,1694.3 ,16.6
France,Male,Non-communicable diseases,29.7 ,9703.5 ,100
France,Male,Neoplasms,29.7 ,249.6 ,2.6
France,Male,Cardiovascular diseases,29.7 ,338.4 ,3.5
France,Male,Chronic respiratory diseases,29.7 ,339.6 ,3.5
France,Male,Diabetes mellitus,29.7 ,301.5 ,3.1
France,Male,Four major NCDs,29.7 ,1229.1 ,12.7
Germany,Male,Non-communicable diseases,28.5 ,10701.0 ,100
Germany,Male,Neoplasms,28.5 ,231.2 ,2.2
Germany,Male,Cardiovascular diseases,28.5 ,383.6 ,3.6
Germany,Male,Chronic respiratory diseases,28.5 ,395.8 ,3.7
Germany,Male,Diabetes mellitus,28.5 ,713.4 ,6.7
Germany,Male,Four major NCDs,28.5 ,1724.1 ,16.1
Greece,Male,Non-communicable diseases,28.0 ,10145.1 ,100
Greece,Male,Neoplasms,28.0 ,206.0 ,2
Greece,Male,Cardiovascular diseases,28.0 ,292.4 ,2.9
Greece,Male,Chronic respiratory diseases,28.0 ,484.4 ,4.8
Greece,Male,Diabetes mellitus,28.0 ,655.8 ,6.5
Greece,Male,Four major NCDs,28.0 ,1638.6 ,16.2
Iceland,Male,Non-communicable diseases,30.9 ,10096.0 ,100
Iceland,Male,Neoplasms,30.9 ,204.7 ,2
