location_name,sex_name,cause_name,gain_HALE_1,gain_HALE_1_Q1,gain_HALE_1_Q3,gain_HALE_2,gain_HALE_2_Q1,gain_HALE_2_Q3,gain_HALE_3,gain_HALE_3_Q1,gain_HALE_3_Q3
Albania,Both,Cardiovascular diseases,5.033,4.97,5.099,3.91,2.893,4.768,3.35,3.179,3.5
Albania,Male,Chronic respiratory diseases,3.117,3.1,3.138,2.987,2.031,3.796,2.941,2.918,2.958
Albania,Female,Chronic respiratory diseases,4.17,4.155,4.186,4.083,3.023,4.985,4.064,4.05,4.072
Albania,Both,Chronic respiratory diseases,3.603,3.588,3.619,3.492,2.481,4.344,3.459,3.443,3.47
Albania,Male,Diabetes mellitus,3.148,3.087,3.226,2.964,2.008,3.773,2.95,2.942,2.955
Albania,Female,Diabetes mellitus,4.246,4.19,4.319,4.075,3.014,4.976,4.065,4.059,4.069
Albania,Both,Diabetes mellitus,3.653,3.595,3.727,3.475,2.465,4.326,3.463,3.458,3.467
Albania,Male,Four major NCDs,6.529,6.357,6.736,3.939,2.965,4.763,2.539,2.064,2.94
Albania,Female,Four major NCDs,6.549,6.403,6.72,4.73,3.659,5.64,3.971,3.736,4.171
Albania,Both,Four major NCDs,6.566,6.41,6.747,4.314,3.29,5.178,3.23,2.891,3.526
Algeria,Male,Neoplasms,4.039,4.032,4.049,3.558,2.612,4.353,3.258,3.184,3.326
Algeria,Female,Neoplasms,4.235,4.226,4.247,3.789,2.63,4.787,3.507,3.438,3.566
Algeria,Both,Neoplasms,4.136,4.128,4.145,3.671,2.629,4.565,3.379,3.318,3.434
Algeria,Male,Cardiovascular diseases,5.572,5.513,5.636,3.995,3.041,4.798,3.108,2.888,3.306
Algeria,Female,Cardiovascular diseases,5.402,5.34,5.466,4.105,2.941,5.109,3.39,3.241,3.527
Algeria,Both,Cardiovascular diseases,5.486,5.427,5.548,4.049,3,4.949,3.245,3.076,3.398
Algeria,Male,Chronic respiratory diseases,3.578,3.555,3.603,3.382,2.44,4.174,3.315,3.281,3.337
Algeria,Female,Chronic respiratory diseases,3.785,3.762,3.81,3.618,2.464,4.613,3.568,3.542,3.587
Algeria,Both,Chronic respiratory diseases,3.679,3.657,3.702,3.497,2.46,4.388,3.439,3.416,3.455
Algeria,Male,Diabetes mellitus,3.761,3.645,3.915,3.365,2.423,4.158,3.319,3.296,3.337
Algeria,Female,Diabetes mellitus,4.09,3.958,4.258,3.63,2.476,4.625,3.564,3.531,3.589
Algeria,Both,Diabetes mellitus,3.922,3.799,4.08,3.495,2.457,4.386,3.439,3.419,3.456
Algeria,Male,Four major NCDs,7.029,6.812,7.296,4.306,3.347,5.114,2.991,2.637,3.301
Algeria,Female,Four major NCDs,6.83,6.595,7.112,4.398,3.227,5.407,3.273,2.992,3.514
Algeria,Both,Four major NCDs,6.93,6.707,7.195,4.351,3.296,5.256,3.128,2.852,3.371
Angola,Male,Neoplasms,2.44,2.434,2.449,1.884,0.974,2.66,1.406,1.279,1.507
Angola,Female,Neoplasms,3.581,3.574,3.591,2.988,1.935,3.892,2.575,2.448,2.678
Angola,Both,Neoplasms,2.989,2.982,2.997,2.41,1.43,3.243,1.965,1.85,2.057
Angola,Male,Cardiovascular diseases,3.428,3.386,3.474,2.159,1.241,2.941,1.17,0.854,1.429
Angola,Female,Cardiovascular diseases,4.373,4.326,4.424,3.198,2.142,4.105,2.484,2.251,2.676
Angola,Both,Cardiovascular diseases,3.893,3.849,3.939,2.657,1.672,3.495,1.81,1.58,1.998
Angola,Male,Chronic respiratory diseases,1.923,1.901,1.946,1.689,0.784,2.46,1.567,1.516,1.607
Angola,Female,Chronic respiratory diseases,3.096,3.067,3.126,2.793,1.745,3.693,2.669,2.591,2.723
Angola,Both,Chronic respiratory diseases,2.482,2.458,2.505,2.213,1.239,3.042,2.09,2.039,2.127
Angola,Male,Diabetes mellitus,2.205,2.105,2.332,1.723,0.817,2.495,1.539,1.457,1.602
Angola,Female,Diabetes mellitus,3.118,3.046,3.207,2.777,1.729,3.676,2.675,2.627,2.713
Angola,Both,Diabetes mellitus,2.639,2.554,2.744,2.224,1.249,3.053,2.082,2.031,2.123
Angola,Male,Four major NCDs,5.255,5.069,5.478,2.586,1.657,3.378,0.772,0.183,1.245
Angola,Female,Four major NCDs,6.132,5.968,6.323,3.633,2.566,4.548,2.26,1.764,2.651
Angola,Both,Four major NCDs,5.697,5.527,5.893,3.092,2.097,3.939,1.505,1.051,1.869
Antigua and Barbuda,Male,Neoplasms,3.787,3.766,3.813,3.041,2.059,3.872,2.543,2.467,2.61
Antigua and Barbuda,Female,Neoplasms,4.281,4.262,4.304,3.454,2.347,4.401,2.931,2.85,3.012
Antigua and Barbuda,Both,Neoplasms,4.045,4.027,4.067,3.256,2.22,4.134,2.744,2.682,2.804
Antigua and Barbuda,Male,Cardiovascular diseases,4.161,4.124,4.203,3.142,2.158,3.975,2.493,2.4,2.577
Antigua and Barbuda,Female,Cardiovascular diseases,4.283,4.249,4.322,3.437,2.331,4.382,2.94,2.86,3.022
Antigua and Barbuda,Both,Cardiovascular diseases,4.231,4.196,4.27,3.297,2.261,4.176,2.726,2.657,2.792
Antigua and Barbuda,Male,Chronic respiratory diseases,2.811,2.799,2.824,2.726,1.751,3.552,2.693,2.682,2.702
Antigua and Barbuda,Female,Chronic respiratory diseases,3.179,3.166,3.195,3.097,1.998,4.036,3.072,3.063,3.079
Antigua and Barbuda,Both,Chronic respiratory diseases,3.002,2.991,3.016,2.919,1.89,3.791,2.89,2.883,2.896
Antigua and Barbuda,Male,Diabetes mellitus,3.555,3.384,3.761,2.833,1.855,3.66,2.643,2.593,2.687
Antigua and Barbuda,Female,Diabetes mellitus,3.941,3.781,4.144,3.218,2.116,4.159,3.026,2.974,3.071
Antigua and Barbuda,Both,Diabetes mellitus,3.755,3.592,3.957,3.032,2.002,3.907,2.842,2.805,2.875
Antigua and Barbuda,Male,Four major NCDs,6.291,6.037,6.596,3.627,2.632,4.469,2.235,2,2.442
Antigua and Barbuda,Female,Four major NCDs,6.524,6.286,6.818,3.966,2.849,4.921,2.711,2.486,2.93
Antigua and Barbuda,Both,Four major NCDs,6.42,6.18,6.712,3.806,2.758,4.694,2.483,2.304,2.651
Argentina,Male,Neoplasms,3.964,3.949,3.982,2.919,2.015,3.715,2.181,2.137,2.223
Argentina,Female,Neoplasms,5.1,5.084,5.119,4.113,2.987,5.073,3.527,3.496,3.556
Argentina,Both,Neoplasms,4.569,4.554,4.586,3.541,2.531,4.419,2.881,2.85,2.912
Argentina,Male,Cardiovascular diseases,3.866,3.832,3.903,2.868,1.965,3.663,2.209,2.164,2.254
Argentina,Female,Cardiovascular diseases,4.446,4.414,4.481,3.882,2.761,4.837,3.596,3.569,3.624
Argentina,Both,Cardiovascular diseases,4.203,4.17,4.237,3.403,2.396,4.279,2.937,2.905,2.97
Argentina,Male,Chronic respiratory diseases,2.772,2.737,2.81,2.508,1.613,3.297,2.4,2.382,2.417
Argentina,Female,Chronic respiratory diseases,3.959,3.91,4.02,3.704,2.586,4.656,3.645,3.633,3.656
Argentina,Both,Chronic respiratory diseases,3.389,3.349,3.436,3.126,2.125,3.997,3.043,3.032,3.053
Argentina,Male,Diabetes mellitus,2.812,2.739,2.907,2.493,1.598,3.282,2.407,2.394,2.42
Argentina,Female,Diabetes mellitus,3.975,3.909,4.065,3.7,2.582,4.652,3.646,3.637,3.654
Argentina,Both,Diabetes mellitus,3.414,3.346,3.506,3.116,2.115,3.987,3.047,3.039,3.054
Argentina,Male,Four major NCDs,6.199,6.03,6.401,3.473,2.558,4.279,1.853,1.73,1.971
Argentina,Female,Four major NCDs,6.557,6.387,6.771,4.426,3.294,5.39,3.431,3.351,3.508
Argentina,Both,Four major NCDs,6.45,6.286,6.651,3.987,2.968,4.872,2.691,2.608,2.773
Armenia,Male,Neoplasms,3.604,3.591,3.619,2.545,1.683,3.294,1.717,1.662,1.77
Armenia,Female,Neoplasms,4.229,4.214,4.248,3.438,2.359,4.377,2.911,2.877,2.946
Armenia,Both,Neoplasms,3.954,3.94,3.97,3.022,2.047,3.866,2.355,2.317,2.393
Armenia,Male,Cardiovascular diseases,4.381,4.323,4.447,2.743,1.876,3.496,1.572,1.507,1.636
Armenia,Female,Cardiovascular diseases,4.174,4.118,4.232,3.374,2.298,4.311,2.939,2.906,2.971
Armenia,Both,Cardiovascular diseases,4.316,4.26,4.376,3.092,2.116,3.937,2.314,2.271,2.357
Armenia,Male,Chronic respiratory diseases,2.291,2.269,2.317,2.108,1.256,2.848,2.02,2.006,2.033
Armenia,Female,Chronic respiratory diseases,3.195,3.179,3.214,3.096,2.026,4.028,3.066,3.054,3.072
Armenia,Both,Chronic respiratory diseases,2.771,2.753,2.79,2.629,1.663,3.465,2.573,2.563,2.58
Armenia,Male,Diabetes mellitus,2.515,2.425,2.632,2.126,1.274,2.867,2.008,1.988,2.026
Armenia,Female,Diabetes mellitus,3.65,3.535,3.793,3.161,2.089,4.094,3.037,3.017,3.055
Armenia,Both,Diabetes mellitus,3.114,3.012,3.243,2.671,1.705,3.508,2.55,2.536,2.564
Armenia,Male,Four major NCDs,6.787,6.584,7.033,3.349,2.468,4.113,1.09,0.932,1.242
Armenia,Female,Four major NCDs,6.078,5.866,6.327,3.838,2.752,4.785,2.712,2.61,2.803
Armenia,Both,Four major NCDs,6.48,6.277,6.721,3.632,2.644,4.488,1.981,1.875,2.085
Australia,Male,Neoplasms,6.465,6.431,6.506,5.34,4.316,6.229,4.785,4.762,4.809
Australia,Female,Neoplasms,7.263,7.236,7.296,6.347,5.184,7.355,5.929,5.914,5.947
Australia,Both,Neoplasms,6.884,6.854,6.917,5.856,4.769,6.804,5.371,5.355,5.388
Australia,Male,Cardiovascular diseases,5.717,5.673,5.768,5.087,4.067,5.973,4.815,4.793,4.836
Australia,Female,Cardiovascular diseases,6.366,6.327,6.409,6.041,4.883,7.044,5.939,5.928,5.949
Australia,Both,Cardiovascular diseases,6.06,6.019,6.106,5.576,4.493,6.52,5.39,5.377,5.403
Australia,Male,Chronic respiratory diseases,5.121,5.086,5.157,4.894,3.877,5.777,4.838,4.83,4.845
Australia,Female,Chronic respiratory diseases,6.236,6.193,6.285,5.984,4.828,6.987,5.941,5.931,5.949
Australia,Both,Chronic respiratory diseases,5.689,5.654,5.728,5.449,4.368,6.391,5.399,5.393,5.405
Australia,Male,Diabetes mellitus,5.109,5.038,5.203,4.867,3.851,5.75,4.84,4.835,4.844
Australia,Female,Diabetes mellitus,6.145,6.084,6.226,5.954,4.798,6.956,5.94,5.938,5.943
Australia,Both,Diabetes mellitus,5.638,5.573,5.722,5.421,4.34,6.362,5.4,5.397,5.402
Australia,Male,Four major NCDs,7.93,7.74,8.163,5.659,4.63,6.553,4.741,4.683,4.797
Australia,Female,Four major NCDs,8.209,8.036,8.42,6.502,5.337,7.512,5.924,5.886,5.963
Australia,Both,Four major NCDs,8.099,7.925,8.309,6.097,5.006,7.049,5.35,5.312,5.39
Austria,Male,Neoplasms,5.692,5.659,5.735,4.519,3.469,5.414,3.881,3.846,3.911
Austria,Female,Neoplasms,6.238,6.213,6.266,5.322,4.159,6.344,4.862,4.836,4.884
Austria,Both,Neoplasms,6.003,5.975,6.036,4.951,3.855,5.904,4.403,4.377,4.427
Austria,Male,Cardiovascular diseases,5.122,5.066,5.185,4.31,3.264,5.201,3.931,3.902,3.959
Austria,Female,Cardiovascular diseases,5.419,5.381,5.461,5.039,3.881,6.056,4.899,4.885,4.913
Austria,Both,Cardiovascular diseases,5.308,5.262,5.359,4.705,3.613,5.654,4.447,4.429,4.465
Austria,Male,Chronic respiratory diseases,4.289,4.253,4.331,4.053,3.012,4.94,3.987,3.979,3.996
Austria,Female,Chronic respiratory diseases,5.134,5.099,5.176,4.946,3.789,5.962,4.91,4.903,4.924
Austria,Both,Chronic respiratory diseases,4.739,4.707,4.779,4.526,3.437,5.472,4.476,4.47,4.484
Austria,Male,Diabetes mellitus,4.302,4.228,4.403,4.031,2.99,4.918,3.991,3.985,3.997
Austria,Female,Diabetes mellitus,5.132,5.067,5.218,4.928,3.772,5.944,4.911,4.908,4.914
Austria,Both,Diabetes mellitus,4.745,4.676,4.835,4.506,3.418,5.452,4.478,4.475,4.481
Austria,Male,Four major NCDs,7.469,7.261,7.73,4.914,3.857,5.814,3.779,3.7,3.852
Austria,Female,Four major NCDs,7.207,7.04,7.411,5.495,4.329,6.519,4.839,4.789,4.892
Austria,Both,Four major NCDs,7.388,7.206,7.61,5.24,4.139,6.197,4.349,4.294,4.403
Azerbaijan,Male,Neoplasms,2.506,2.496,2.519,1.689,0.845,2.394,0.923,0.771,1.049
Azerbaijan,Female,Neoplasms,2.769,2.759,2.783,2.221,1.128,3.147,1.769,1.687,1.836
Azerbaijan,Both,Neoplasms,2.653,2.643,2.665,1.966,1.014,2.781,1.362,1.271,1.439
Azerbaijan,Male,Cardiovascular diseases,4.471,4.405,4.544,2.24,1.383,2.957,0.296,0.04,0.551
Azerbaijan,Female,Cardiovascular diseases,3.937,3.873,4.003,2.537,1.437,3.468,1.477,1.347,1.614
Azerbaijan,Both,Cardiovascular diseases,4.231,4.167,4.298,2.405,1.443,3.23,0.92,0.763,1.082
Azerbaijan,Male,Chronic respiratory diseases,1.522,1.503,1.544,1.358,0.524,2.055,1.26,1.212,1.291
Azerbaijan,Female,Chronic respiratory diseases,2.117,2.097,2.138,1.994,0.907,2.913,1.948,1.909,1.966
Azerbaijan,Both,Chronic respiratory diseases,1.829,1.811,1.847,1.684,0.74,2.492,1.613,1.576,1.632
Azerbaijan,Male,Diabetes mellitus,1.698,1.615,1.804,1.364,0.53,2.062,1.254,1.207,1.29
Azerbaijan,Female,Diabetes mellitus,2.459,2.351,2.594,2.035,0.948,2.956,1.915,1.866,1.952
Azerbaijan,Both,Diabetes mellitus,2.088,1.993,2.206,1.707,0.763,2.517,1.592,1.559,1.621
Azerbaijan,Male,Four major NCDs,6.455,6.254,6.693,2.712,1.841,3.439,-0.287,-0.807,0.174
Azerbaijan,Female,Four major NCDs,5.457,5.242,5.708,2.877,1.767,3.816,1.171,0.865,1.436
Azerbaijan,Both,Four major NCDs,5.989,5.787,6.224,2.815,1.842,3.649,0.491,0.165,0.784
Bahamas,Male,Neoplasms,4.117,4.098,4.142,3.105,2.197,3.892,2.458,2.348,2.558
Bahamas,Female,Neoplasms,5.252,5.232,5.276,4.187,3.086,5.129,3.603,3.511,3.688
Bahamas,Both,Neoplasms,4.697,4.678,4.718,3.652,2.65,4.513,3.038,2.944,3.126
Bahamas,Male,Cardiovascular diseases,4.867,4.832,4.909,3.326,2.413,4.117,2.36,2.208,2.501
Bahamas,Female,Cardiovascular diseases,5.242,5.211,5.278,4.169,3.069,5.11,3.614,3.528,3.696
Bahamas,Both,Cardiovascular diseases,5.084,5.052,5.122,3.76,2.756,4.623,3.007,2.896,3.114
Bahamas,Male,Chronic respiratory diseases,2.8,2.787,2.817,2.679,1.779,3.458,2.628,2.612,2.641
Bahamas,Female,Chronic respiratory diseases,3.821,3.808,3.836,3.724,2.632,4.658,3.693,3.683,3.702
Bahamas,Both,Chronic respiratory diseases,3.315,3.303,3.329,3.205,2.212,4.058,3.164,3.154,3.173
Bahamas,Male,Diabetes mellitus,3.356,3.212,3.533,2.746,1.845,3.526,2.602,2.558,2.639
Bahamas,Female,Diabetes mellitus,4.446,4.307,4.615,3.818,2.724,4.753,3.678,3.638,3.712
Bahamas,Both,Diabetes mellitus,3.905,3.764,4.072,3.286,2.291,4.14,3.143,3.112,3.172
Bahamas,Male,Four major NCDs,7.366,7.135,7.65,3.927,3.001,4.728,2.08,1.752,2.377
Bahamas,Female,Four major NCDs,7.767,7.552,8.024,4.804,3.691,5.756,3.474,3.242,3.686
Bahamas,Both,Four major NCDs,7.607,7.388,7.865,4.382,3.366,5.255,2.804,2.554,3.04
Bahrain,Male,Neoplasms,4.271,4.261,4.284,3.829,2.767,4.756,3.541,3.465,3.603
Bahrain,Female,Neoplasms,4.728,4.713,4.746,4.162,2.875,5.268,3.805,3.734,3.87
Bahrain,Both,Neoplasms,4.478,4.467,4.491,3.993,2.86,4.975,3.682,3.618,3.735
Bahrain,Male,Cardiovascular diseases,4.731,4.683,4.784,3.936,2.871,4.865,3.496,3.38,3.591
Bahrain,Female,Cardiovascular diseases,5.001,4.953,5.051,4.211,2.925,5.318,3.788,3.683,3.873
Bahrain,Both,Cardiovascular diseases,4.881,4.834,4.931,4.082,2.948,5.066,3.646,3.548,3.724
Bahrain,Male,Chronic respiratory diseases,3.807,3.785,3.831,3.655,2.597,4.579,3.612,3.593,3.625
Bahrain,Female,Chronic respiratory diseases,4.139,4.109,4.17,3.94,2.659,5.041,3.89,3.857,3.906
Bahrain,Both,Chronic respiratory diseases,3.971,3.947,3.995,3.802,2.674,4.781,3.757,3.738,3.768
Bahrain,Male,Diabetes mellitus,4.98,4.701,5.329,3.819,2.757,4.746,3.545,3.462,3.62
Bahrain,Female,Diabetes mellitus,5.336,5.072,5.67,4.135,2.851,5.24,3.817,3.736,3.906
Bahrain,Both,Diabetes mellitus,5.156,4.888,5.495,3.978,2.847,4.96,3.688,3.621,3.753
Bahrain,Male,Four major NCDs,6.983,6.609,7.439,4.362,3.289,5.3,3.303,3.005,3.552
Bahrain,Female,Four major NCDs,7.572,7.2,8.026,4.733,3.434,5.85,3.567,3.273,3.827
Bahrain,Both,Four major NCDs,7.249,6.885,7.692,4.543,3.399,5.536,3.446,3.194,3.657
Bangladesh,Male,Neoplasms,4.575,4.569,4.582,3.935,3,4.741,3.564,3.434,3.67
Bangladesh,Female,Neoplasms,5.159,5.153,5.168,4.595,3.43,5.61,4.275,4.19,4.341
Bangladesh,Both,Neoplasms,4.838,4.832,4.845,4.231,3.197,5.131,3.882,3.785,3.962
Bangladesh,Male,Cardiovascular diseases,6.442,6.402,6.486,4.496,3.552,5.311,3.434,3.199,3.691
Bangladesh,Female,Cardiovascular diseases,6.476,6.43,6.524,4.977,3.806,5.997,4.213,4.04,4.372
Bangladesh,Both,Cardiovascular diseases,6.443,6.402,6.489,4.707,3.665,5.614,3.786,3.598,3.974
Bangladesh,Male,Chronic respiratory diseases,4.298,4.215,4.387,3.802,2.87,4.605,3.596,3.464,3.657
Bangladesh,Female,Chronic respiratory diseases,4.888,4.803,4.987,4.454,3.292,5.465,4.307,4.207,4.358
Bangladesh,Both,Chronic respiratory diseases,4.562,4.481,4.652,4.093,3.063,4.99,3.915,3.813,3.963
Bangladesh,Male,Diabetes mellitus,3.982,3.91,4.071,3.679,2.749,4.481,3.617,3.59,3.637
Bangladesh,Female,Diabetes mellitus,4.709,4.643,4.794,4.392,3.231,5.402,4.315,4.281,4.341
Bangladesh,Both,Diabetes mellitus,4.308,4.239,4.395,3.998,2.969,4.894,3.929,3.907,3.948
Bangladesh,Male,Four major NCDs,8.543,8.327,8.791,5.024,4.071,5.847,3.294,2.76,3.747
Bangladesh,Female,Four major NCDs,8.339,8.125,8.594,5.436,4.255,6.464,4.111,3.713,4.417
Bangladesh,Both,Four major NCDs,8.438,8.227,8.683,5.205,4.154,6.12,3.664,3.247,4.003
Barbados,Male,Neoplasms,4.507,4.481,4.538,3.516,2.598,4.311,2.924,2.825,3.013
Barbados,Female,Neoplasms,4.67,4.646,4.7,3.638,2.557,4.562,3.003,2.907,3.091
Barbados,Both,Neoplasms,4.587,4.563,4.615,3.577,2.579,4.435,2.962,2.869,3.047
Barbados,Male,Cardiovascular diseases,4.419,4.381,4.464,3.47,2.553,4.266,2.938,2.845,3.022
Barbados,Female,Cardiovascular diseases,4.101,4.065,4.141,3.44,2.363,4.359,3.079,3.013,3.14
Barbados,Both,Cardiovascular diseases,4.245,4.209,4.286,3.451,2.455,4.306,3.009,2.935,3.077
Barbados,Male,Chronic respiratory diseases,3.214,3.195,3.237,3.096,2.186,3.886,3.058,3.046,3.069
Barbados,Female,Chronic respiratory diseases,3.29,3.271,3.313,3.192,2.12,4.107,3.166,3.158,3.173
Barbados,Both,Chronic respiratory diseases,3.251,3.233,3.273,3.144,2.155,3.995,3.113,3.105,3.12
Barbados,Male,Diabetes mellitus,3.84,3.702,4.007,3.198,2.286,3.989,3.027,2.978,3.069
Barbados,Female,Diabetes mellitus,3.98,3.83,4.161,3.304,2.23,4.22,3.127,3.078,3.17
Barbados,Both,Diabetes mellitus,3.911,3.769,4.08,3.251,2.26,4.104,3.077,3.039,3.111
Barbados,Male,Four major NCDs,6.869,6.636,7.15,4.075,3.147,4.88,2.721,2.463,2.95
Barbados,Female,Four major NCDs,6.595,6.355,6.883,4.052,2.963,4.983,2.838,2.616,3.04
Barbados,Both,Four major NCDs,6.713,6.482,6.987,4.058,3.051,4.924,2.778,2.563,2.974
Belarus,Male,Neoplasms,3.2,3.175,3.229,2.182,1.235,2.997,1.329,1.234,1.419
Belarus,Female,Neoplasms,4.065,4.047,4.086,3.422,2.3,4.373,3.008,2.961,3.052
Belarus,Both,Neoplasms,3.749,3.729,3.772,2.886,1.858,3.767,2.27,2.207,2.327
Belarus,Male,Cardiovascular diseases,5.08,5.006,5.158,2.711,1.749,3.538,0.813,0.636,0.977
Belarus,Female,Cardiovascular diseases,4.781,4.712,4.853,3.595,2.471,4.547,2.927,2.869,2.983
Belarus,Both,Cardiovascular diseases,5.115,5.044,5.187,3.264,2.228,4.152,2.031,1.925,2.129
Belarus,Male,Chronic respiratory diseases,1.928,1.9,1.958,1.767,0.833,2.571,1.699,1.684,1.713
Belarus,Female,Chronic respiratory diseases,3.235,3.215,3.258,3.145,2.03,4.089,3.129,3.103,3.135
Belarus,Both,Chronic respiratory diseases,2.651,2.63,2.675,2.523,1.505,3.397,2.484,2.468,2.492
Belarus,Male,Diabetes mellitus,1.863,1.819,1.919,1.735,0.802,2.539,1.726,1.724,1.728
Belarus,Female,Diabetes mellitus,3.285,3.236,3.347,3.14,2.025,4.084,3.132,3.129,3.134
Belarus,Both,Diabetes mellitus,2.641,2.595,2.7,2.504,1.486,3.376,2.495,2.493,2.497
Belarus,Male,Four major NCDs,7.065,6.877,7.282,3.192,2.217,4.032,0.29,-0.007,0.568
Belarus,Female,Four major NCDs,6.006,5.845,6.191,3.898,2.767,4.856,2.781,2.645,2.889
Belarus,Both,Four major NCDs,6.764,6.595,6.955,3.677,2.631,4.574,1.748,1.557,1.915
Belgium,Male,Neoplasms,5.375,5.347,5.411,4.152,3.119,5.042,3.428,3.394,3.462
Belgium,Female,Neoplasms,6.246,6.218,6.278,5.277,4.018,6.353,4.769,4.745,4.792
Belgium,Both,Neoplasms,5.865,5.839,5.896,4.756,3.622,5.733,4.14,4.115,4.164
Belgium,Male,Cardiovascular diseases,4.455,4.415,4.499,3.841,2.814,4.726,3.53,3.503,3.557
Belgium,Female,Cardiovascular diseases,5.304,5.271,5.34,4.962,3.71,6.032,4.828,4.813,4.843
Belgium,Both,Cardiovascular diseases,4.927,4.891,4.965,4.44,3.312,5.412,4.218,4.199,4.236
Belgium,Male,Chronic respiratory diseases,3.953,3.914,3.995,3.668,2.644,4.549,3.584,3.572,3.595
Belgium,Female,Chronic respiratory diseases,5.142,5.102,5.185,4.893,3.642,5.962,4.84,4.83,4.858
Belgium,Both,Chronic respiratory diseases,4.584,4.547,4.622,4.315,3.19,5.285,4.246,4.238,4.257
Belgium,Male,Diabetes mellitus,3.864,3.785,3.97,3.619,2.595,4.499,3.598,3.594,3.601
Belgium,Female,Diabetes mellitus,5.06,4.991,5.147,4.857,3.606,5.925,4.846,4.844,4.848
Belgium,Both,Diabetes mellitus,4.496,4.424,4.589,4.271,3.147,5.24,4.256,4.253,4.258
Belgium,Male,Four major NCDs,6.895,6.699,7.135,4.469,3.43,5.363,3.316,3.238,3.392
Belgium,Female,Four major NCDs,7.236,7.062,7.441,5.446,4.184,6.524,4.737,4.685,4.794
Belgium,Both,Four major NCDs,7.138,6.959,7.346,5.005,3.866,5.986,4.074,4.02,4.129
Belize,Male,Neoplasms,4.001,3.991,4.014,3.26,2.372,4.033,2.809,2.756,2.858
Belize,Female,Neoplasms,4.942,4.933,4.954,4.195,3.075,5.147,3.777,3.732,3.82
Belize,Both,Neoplasms,4.426,4.417,4.438,3.678,2.69,4.537,3.24,3.2,3.278
Belize,Male,Cardiovascular diseases,4.564,4.528,4.606,3.416,2.525,4.191,2.759,2.689,2.827
Belize,Female,Cardiovascular diseases,5.058,5.025,5.095,4.207,3.088,5.158,3.781,3.723,3.835
Belize,Both,Cardiovascular diseases,4.787,4.753,4.826,3.769,2.78,4.629,3.22,3.166,3.272
Belize,Male,Chronic respiratory diseases,3.251,3.232,3.274,3.004,2.12,3.772,2.888,2.857,2.913
Belize,Female,Chronic respiratory diseases,4.036,4.017,4.056,3.886,2.773,4.833,3.836,3.821,3.848
Belize,Both,Chronic respiratory diseases,3.602,3.584,3.622,3.397,2.414,4.251,3.311,3.294,3.326
Belize,Male,Diabetes mellitus,3.708,3.607,3.831,3.084,2.199,3.854,2.863,2.81,2.909
Belize,Female,Diabetes mellitus,4.876,4.736,5.051,4.054,2.939,5.004,3.808,3.756,3.854
Belize,Both,Diabetes mellitus,4.231,4.113,4.373,3.516,2.531,4.372,3.283,3.245,3.317
Belize,Male,Four major NCDs,6.892,6.714,7.105,4.019,3.117,4.804,2.546,2.337,2.738
